skills:[[5, 0, 0], [6, 2, -1], [7, 6, 7]], reward:8.6, epsilon:1.0
skills:[[4, 1, 4], [5, 7, 2], [7, 1, 2]], reward:11.7, epsilon:1.0
skills:[[5, 1, 4], [4, -1, 2], [5, 1, 1]], reward:5.9, epsilon:1.0
skills:[[1, 7, 4], [7, 6, 3], [6, 4, 3]], reward:10.2, epsilon:1.0
skills:[[2, 2, 6], [6, 6, -1], [2, 6, 4]], reward:9.0, epsilon:1.0
skills:[[1, 3, 0], [0, 1, 3], [7, 5, 6]], reward:20.3, epsilon:1.0
skills:[[5, -1, 0], [1, -1, 2], [2, 1, 0]], reward:8.8, epsilon:1.0
skills:[[-1, 1, -1], [2, 0, 0], [4, 6, 0]], reward:8.1, epsilon:1.0
skills:[[1, 3, 6], [1, 4, 7], [6, 7, 4]], reward:8.6, epsilon:1.0
skills:[[2, -1, -1], [0, -1, 1], [-1, 6, 5]], reward:20.9, epsilon:1.0
skills:[[6, 4, 7], [4, 0, 6], [4, 3, 5]], reward:6.4, epsilon:1.0
skills:[[7, 4, 6], [5, 6, 7], [-1, 0, 7]], reward:9.0, epsilon:1.0
skills:[[6, 1, 3], [2, 7, 1], [6, 6, 4]], reward:9.7, epsilon:1.0
skills:[[2, 4, 5], [6, 3, 0], [6, 4, -1]], reward:7.9, epsilon:1.0
skills:[[6, 3, 6], [4, 3, 7], [1, -1, 5]], reward:9.2, epsilon:1.0
skills:[[5, 2, 5], [4, 5, 2], [1, 1, 6]], reward:7.7, epsilon:1.0
skills:[[2, 6, 7], [5, 5, 3], [1, 6, 5]], reward:6.1, epsilon:1.0
skills:[[5, 2, 4], [6, 7, 4], [5, 0, 1]], reward:9.0, epsilon:1.0
skills:[[4, 5, 0], [2, 4, 7], [6, 7, 4]], reward:9.1, epsilon:1.0
skills:[[7, 7, 4], [1, -1, 4], [7, 2, 2]], reward:10.3, epsilon:1.0
skills:[[-1, -1, 4], [0, 4, 4], [6, 6, 5]], reward:13.8, epsilon:1.0
skills:[[4, 6, 5], [3, 6, 6], [1, 5, 3]], reward:6.4, epsilon:1.0
skills:[[6, -1, -1], [0, 1, 2], [5, 5, 6]], reward:11.6, epsilon:1.0
skills:[[-1, 7, -1], [3, 2, 5], [4, 3, 6]], reward:7.2, epsilon:1.0
skills:[[-1, 7, 6], [5, 2, 2], [5, 0, 0]], reward:6.4, epsilon:1.0
skills:[[2, 4, 2], [4, 2, 3], [5, 5, 5]], reward:9.9, epsilon:1.0
skills:[[7, 1, -1], [3, 0, 1], [3, 7, 6]], reward:10.4, epsilon:1.0
skills:[[7, 6, 0], [3, 3, 5], [7, 6, 0]], reward:-1.0, epsilon:0.9932415519399249
skills:[[0, 2, 1], [3, 2, 2], [5, -1, 7]], reward:10.4, epsilon:1.0
skills:[[0, 3, 6], [6, 3, 3], [1, 2, 7]], reward:8.6, epsilon:1.0
skills:[[3, 5, 5], [-1, 1, 5], [2, 5, 2]], reward:7.8, epsilon:1.0
skills:[[5, 7, 3], [4, 4, 0], [7, 7, 1]], reward:8.8, epsilon:1.0
skills:[[4, 2, 6], [6, 5, 6], [-1, 3, 7]], reward:7.5, epsilon:1.0
skills:[[0, 3, 5], [4, 7, 5], [2, 3, 7]], reward:5.9, epsilon:1.0
skills:[[7, 7, 3], [1, 5, 5], [3, 6, 2]], reward:8.4, epsilon:1.0
skills:[[1, 1, 4], [6, 3, 6], [7, 3, 5]], reward:9.0, epsilon:1.0
skills:[[5, 1, -1], [2, 1, 0], [2, 0, 6]], reward:10.1, epsilon:1.0
skills:[[7, -1, 1], [3, 0, 7], [6, 5, 7]], reward:7.0, epsilon:1.0
skills:[[6, 0, 2], [1, -1, 7], [0, 2, 6]], reward:7.5, epsilon:1.0
skills:[[4, 0, 4], [-1, 4, -1], [3, 1, 3]], reward:13.2, epsilon:1.0
skills:[[1, 6, 6], [4, 2, 3], [2, 6, 5]], reward:8.9, epsilon:1.0
